cus_id,tong_don,tong_tien,tongdon_cod,thuho_tongdon,don_ptc,don_ptc_cod,thu_ho
15960946,1027,32159373.0,0,0.0,867.0,0.0,0.0
15960950,8065,165822069.0,6990,12267580060.0,6047.0,6037.0,10607060060.0
15961091,1666,277923914.0,588,1573440000.0,1244.0,438.0,1163331000.0
15961432,2765,45977601.0,2552,208585000.0,2253.0,2249.0,184313000.0
15961458,3127,155730794.0,2514,4433354446.0,2625.0,2150.0,3731204579.0
15961766,3177,60429756.0,2923,512435008.0,2346.0,2314.0,403924000.0
15961800,7941,541719351.0,7736,11839621721.0,6969.0,6842.0,10770915798.0
15961880,1389,69711819.0,0,0.0,1327.0,0.0,0.0
15962341,2218,49775816.0,1450,539219000.0,1617.0,1069.0,383807000.0
15962586,4689,84731355.0,4195,1225739000.0,4322.0,3972.0,1151962000.0
15962709,2550,42695611.0,2101,666322103.0,1701.0,1657.0,537009103.0
15962731,2592,68959961.0,1749,3582321000.0,1709.0,1306.0,2548731000.0
15962753,2860,70387971.0,2703,1440289000.0,2425.0,2357.0,1261348000.0
15962771,2183,40450263.0,2008,659765501.0,1882.0,1837.0,598248501.0
15962784,7050,156477943.0,6585,2405806003.0,5990.0,5954.0,1998171004.0
15962817,4129,79744495.0,3703,1785114000.0,3781.0,3568.0,1661582000.0
15962830,13028,466146999.0,10536,19244016500.0,11307.0,9527.0,17175588500.0
15962862,11980,192115992.0,9934,5583559812.0,9233.0,8498.0,4620420812.0
15962879,8484,154627192.0,7328,3399692010.0,6466.0,6228.0,2873764912.0
15962898,1713,24015365.0,1383,451627000.0,1092.0,972.0,322262000.0
15962899,18687,298226063.0,16147,4309291335.0,14168.0,13896.0,3692788338.0
15962972,989,20329997.0,635,212613024.0,707.0,461.0,152153524.0
15963047,978,13538519.0,859,134520001.0,810.0,765.0,116507001.0
15963080,2223,146153240.0,1959,2697650000.0,1970.0,1779.0,2461554000.0
15963098,1458,56441810.0,982,1221225498.0,1045.0,720.0,904324799.0
15963100,1258,87683314.0,729,1180575000.0,934.0,571.0,926492000.0
15963261,2000,47197247.0,17,14241400.0,1802.0,15.0,13929900.0
15963549,4987,165757797.0,4638,2820860000.0,4238.0,4116.0,2517017000.0
15963554,4310,64918601.0,3948,617895003.0,3066.0,3049.0,475758005.0
15963610,3014,59023964.0,2705,435564001.0,2593.0,2428.0,386300002.0
15963614,1801,49240711.0,1599,879599000.0,1339.0,1256.0,692020000.0
15963801,1013,19974688.0,744,244705000.0,670.0,515.0,153244000.0
15963918,1008,30755030.0,971,358711500.0,620.0,609.0,222267000.0
15964013,27921,357124933.0,21557,6821857955.0,19835.0,17382.0,5399177958.0
15964201,8366,129684092.0,7639,2267518000.0,7512.0,7140.0,2122405000.0
15964207,5862,60492639.0,61,7870030.0,5472.0,60.0,7810030.0
15964274,2197,30575068.0,1986,2610194206.0,1678.0,1561.0,2104184623.0
15964397,1268,30054297.0,828,278529000.0,1002.0,660.0,221540000.0
15964517,2083,53022116.0,1154,467557000.0,1168.0,646.0,260226000.0
15965167,1447,19246117.0,1197,440124000.0,1016.0,980.0,351549000.0
15965287,1665,19726500.0,0,0.0,810.0,0.0,0.0
15965487,1307,17284000.0,822,144798843.0,284.0,279.0,45272754.0
15965502,1679,160825070.0,1053,2471553579.0,1484.0,944.0,2283162779.0
15965508,1334,52499679.0,149,97770000.0,742.0,96.0,61460000.0
15965527,21429,527044764.0,19300,776333047.0,19691.0,17974.0,706752047.0
15965606,1100,22552049.0,956,137922000.0,674.0,608.0,85665000.0
15965663,1220,30016540.0,0,0.0,905.0,0.0,0.0
15965668,2119,32423469.0,1884,568395000.0,1938.0,1742.0,526662000.0
15965707,2556,146896881.0,1913,6694049055.0,1812.0,1399.0,4851008745.0
15965851,1500,29588054.0,1200,1002293000.0,1251.0,1057.0,889198000.0
15965941,3301,74798947.0,3294,121411740.0,2122.0,2122.0,75782032.0
15966096,6778,665976721.0,2631,8710931508.0,6347.0,2437.0,8072238848.0
15966120,5771,297578763.0,5198,5861924070.0,4761.0,4495.0,5038444827.0
15966126,1032,43807212.0,351,372994000.0,785.0,297.0,292949000.0
15966190,11555,285959398.0,3719,2722069980.0,10965.0,3493.0,2562294580.0
15966430,11295,162844391.0,10711,1040802505.0,10050.0,9993.0,971177506.0
15966463,3026,107723376.0,1048,602524000.0,2681.0,920.0,532497000.0
15966568,2415,42346741.0,1986,511571490.0,1563.0,1533.0,382741991.0
